Chapter Title,Heading,Question to Answer,Content,Tokens
M28C.I.A.1 Veteran Readiness and Employment Manual,1.06  Manual Updates,What is the Change Date?,The Change Date is the date on which a policy or procedure is updated. The Change Date is updated on the specific section of the chapter for each new or changed policy or procedure and is effective the date of the implementation notice.,43
M28C.I.A.1 Veteran Readiness and Employment Manual,1.06  Manual Updates,What is the QA Deferral Period?,The QA Deferral Period is the amount of time given to agencies to implement a new or changed policy or procedure. A QA Deferral Period is granted when a new or changed policy or procedure directly impacts administration of a claimant's benefit.,42
M28C.I.A.1 Veteran Readiness and Employment Manual,1.06  Manual Updates,What is the QA Deferral Date?,"The QA Deferral Date is the last day of the QA Deferral Period. A QA Deferral Date is assigned only if the use of the appendix, form, or letter is required.",31
M28C.II.A.2 Records Management,2.01  Claimants' Records,What is the Veteran Readiness and Employment (VR&E) Modernization Program?,The Veteran Readiness and Employment (VR&E) Modernization Program is a program that was put into place in order to improve the process of how veterans are serviced.,27
M28C.II.A.2 Records Management,2.01  Claimants' Records,What is the Triage Supervisor role in VBMS?,The Triage Supervisor role in VBMS is responsible for the overall management of the eFolder and the documents that are stored in it.,23
M28C.II.A.2 Records Management,2.01  Claimants' Records,What document type categories are in the VBMS eFolder Guide?,"The document type categories that are in the VBMS eFolder Guide are application, decision, notification, and other.",17
M28C.II.A.2 Records Management,2.01  Claimants' Records,What is the VBMS Job Aid?,The VBMS Job Aid is a guide that provides more information on how to use the VBMS system.,18
M28C.II.A.2 Records Management,2.01  Claimants' Records, How should VR&E staff refer to the VBMS Master List?,The VBMS Master List is a list of all document type categories that are in the VBMS eFolder Guide.,19
M28C.II.A.2 Records Management,2.01  Claimants' Records,What is electronic concurrence?,Electronic Concurrence is the process of getting approval from another individual or department for a document or action that has been taken.,22
M28C.II.A.2 Records Management,2.01  Claimants' Records,"What is the locally based, collaborative platform for electronic concurrence?","The locally based, collaborative platform for electronic concurrence is a platform that is used to get approval from other individuals or departments for a document. As outlined in the Transition to eFolder Playbook, each VR&E office will establish a locally based, collaborative platform on either SharePoint or a shared network drive for electronic concurrence and label it as ""Concurrence Needed"".",60
M28C.II.A.2 Records Management,2.01  Claimants' Records,What is the process for VR&E staff to cite CAPRI records within official electronic case notes and narrative reports?,"The process for VR&E staff to cite CAPRI records within official electronic case notes and narrative reports is to reference the relevant CAPRI records within official electronic case notes and narrative reports. When citing CAPRI records, VR&E staff must include Date(s) of the cited record(s), Veterans Health Administration (VHA) service area(s) for which services were provided, Name and Title of the VHA official(s) identified within the citied entry, Other relevant case notes in support of VR&E decision(s), and Case manager's explanation of how the medical information cited was used in support of counseling determination.",94
M28C.II.A.2 Records Management,2.01  Claimants' Records,What is the process for VR&E staff to sign documents?,"The process for VR&E staff to sign documents is to include a Date(s) of the documents, Subject matter, Synopsis of an action or conversation, Next steps, and Name of the note's author. The acceptable forms of signature for VR&E staff are digital signatures, electronic signatures, and wet signatures.",48
M28C.II.A.2 Records Management,2.01  Claimants' Records,What are the acceptable forms of signature for VR&E staff?,"The acceptable forms of signature for VR&E staff are digital signatures that meet VA approved Digital Signature Standards, electronic signatures, and wet signatures.",23
M28C.II.A.2 Records Management,2.05  Privacy Protection and Release of Information,What is the purpose of the VAF 28-8739a form?,The purpose of the VAF 28-8739a form (Protection of Privacy Information Statement) is to inform the claimant that the information he or she provides will not be used for any other purpose and that responses may be disclosed outside the VA only if the disclosure is authorized under the Privacy Act of 1974.,53
M28C.II.A.2 Records Management,2.05  Privacy Protection and Release of Information,How can a claimant request VR&E records under FOIA?,"Claimants may request records under FOIA by following these steps Submit a signed request in writing or use VAF 20-10206, The request must describe the records sought so that they may be located with a reasonable amount of effort, State the requestor's willingness to pay applicable fees or provide a justification to support a fee waiver, and include a daytime telephone number.",62
M28C.II.A.2 Records Management,2.05  Privacy Protection and Release of Information,What is a VR&E office of jurisdiction?,The VR&E office of jurisdiction is the office that is responsible for the claimant's case.,15
