Chapter Title,Heading,Content,Tokens
A,Academic Year, The period of time beginning August 1st of each calendar year and ending July 31st of the subsequent calendar year.,20
A,Accommodation, Any modification or adjustment to employment that will enable the claimant to perform the essential functions of a suitable employment goal.,21
A,Accrediting Agency, A nationally recognized agency or association which the Secretary of Education determines as a reliable authority on the quality of training offered by an educational institution. The Secretary publishes a list of these agencies and associations which SAAs (State Approving Agencies) use for establishing what courses may be approved under the provisions of 38 U.S.C. 3675.,56
A,Achievement of a Vocational Goal is Reasonably Feasible," The effects of the Veteran's disability (service and nonservice-connected), when considered in relation to the Veteran's circumstances does not prevent the Veteran from successfully pursuing a vocational rehabilitation program and becoming gainfully employed in an occupation consistent with the Veteran's abilities, aptitudes, and interests. (38 CFR 21.35(h)(2))",47
A,Achievement of a Vocational Goal is Not Currently Reasonably Feasible," The effects of the Veteran's disability (service and nonservice-connected), when considered in relation to the Veteran's circumstances at the time of the determination: Prevent the Veteran from successfully achieving a vocational goal at that time; or Are expected to worsen within the period needed to achieve a vocational goal and which would, therefore, make achievement not reasonably feasible. (38 CFR 21.35(h)(3)).",61
A,Adaptions, A modification that allows the claimant to have more accessibility within the conditions of their environment to improve the physical or behavioral traits that serve a specific function and improve the claimant's adaptability of their environment.,36
A,Administrative Error," 1.  Is an error solely created by a Va employee when processing VA Benefits that results in an erroneous payment or award. 2.  Administrative errors occur when VA pays benefits to a beneficiary in an amount due to actions on the part of VA usually, but not always, due to a misapplication of the law. Administrative errors include errors in judgment on the part of VA employees.",67
A,Administrative and Loan Accounting Center (ALAC)," Provides financial management support to VA's administrative accounting and housing programs by performing accounting, financial reporting, voucher examining, payments, budget support, verification, recertification, reclamation, limited pay ability, and financial advisory services for these national operations.",35
A,Adverse Action," Any action that reduces, denies, or terminates benefits or services.",10
A,Advisory Opinion," Opinion provided by VR&E Central Office prior to the regional office making a formal decision.  It seeks to resolve doubt as to the correct interpretation and application of law, regulations, policies, and/or procedures.",33
A,Apprenticeship Training," Apprenticeship training differs from on-the-job training (OJT) in that it combines OJT with classroom instruction to prepare workers for a job. Often after completing an apprenticeship, the student receives a Certificate of Apprenticeship. Examples of apprenticeship training include machinist, land surveyor, or baker.",43
A,Audited Course, Any credit course that a student attends as a listener only with a prior understanding between school officials and the student that such attendance will not result in credit being granted toward graduation.,33
A,Avocational, Activities or hobbies outside the claimant’s main occupation that are done for enjoyment that enables or enhances the claimant’s ability to engage in family and/or community activities.,27
B,Basic Period of Eligibility," The 12-year period beginning on the date of a claimant's discharge or release from his or her last period of active military, naval, or air service, and ending on the date that is 12 years from the Veteran's discharge or release date.  This date may be deferred or extended. (38 CFR 21.41).",52
B,Business Structure, Organizational framework legally recognized in a particular jurisdiction for conducting business.  Examples include sole proprietorships; limited liability corporations (LLC); partnerships (requires at least 51 percent claimant owned); and corporations.,29
C,Capped Post P911 Subsistence Allowance (P911SA) Rate," Applies to VR&E participants who first used their entitlement to Chapter 31 on or after January 1, 2018.  This rate is limited to the amount provided by the BAH Calculator.",30
C,Case Management Appointment," A direct or face-to-face meeting between a case manager and a Chapter 31 claimant to evaluate the claimant's progress in his or her rehabilitation program, and to determine if the claimant's identified needs are addressed based on his or her changing circumstances.",42
C,Change Date, A change in the date when a specific section of the chapter is updated with a new or changed policy or procedure and is effective the date of the implementation notice.,31
C,Claim, A claim may also be referred to as an application.  It refers to a formal or informal written communication requesting a determination of entitlement or potential entitlement to Chapter 31 benefits. The original claim refers to the initial claim submitted by the claimant.  Subsequent claims may be made for benefits.  (38 CFR 21.30),53
C,Claimant," For purposes of VR&E, the term “claimant” means any Service member or Veteran applying for, participating in, or who has previously participated in VR&E services.",25
C,Clear and Unmistakable Error," A very specific and rare kind of error, of fact or law, that when called to the attention of later reviewers compels the conclusion, to which reasonable minds could not differ, that the result would have been manifestly different but for the error.  If it is not absolutely clear that a different result would have ensued, the error complained of cannot be clear and unmistakable.  Generally, either the correct facts, as they were known at the time, were not before the Department of Veterans Affairs, or the statutory and regulatory provisions extant at the time were incorrectly applied. (38 CFR 3.105(i))",101
C,Concurrent Enrollment," Enrollment at more than one school at the same time (the dates of course pursuit at each school may overlap). When a student cannot successfully schedule his or her complete program at one school or cannot complete his or her program within the planned period to complete an objective, a student may pursue courses at a second institution. The primary institution certifies that supplemental school pursuit will be accepted at full credit toward the student's course objective.",77
C,Contact," A two-way means of communication between the case manager and the claimant, which may include but is not limited to, a claimant’s inquiry, request for assistance, response to scheduled appointments,and/or submission of requested information. A contact may be made via in-person meeting, telephone, email, e-VA, or letter.",47
C,Cooperative Course," Special type of combination course that: Has an objective that the claimant attains primarily through school instruction with an additional on-job portion on the school course.
Is pursued at the college or junior college level; however, some cooperative courses are also offered at secondary schools or at post-secondary schools that do not offer college degrees
Requires the student’s attendance at least one-half of the total training period of the school portion of the course
Includes long periods of on-job and school training, such as a full-term school training followed by full-term on-job training Has an objective that the claimant attains primarily through school instruction with an additional on-job portion on the school course.
Is pursued at the college or junior college level; however, some cooperative courses are also offered at secondary schools or at post-secondary schools that do not offer college degrees
Requires the student’s attendance at least one-half of the total training period of the school portion of the course
Includes long periods of on-job and school training, such as a full-term school training followed by full-term on-job training",180
C,Combination Course, Course that includes on-job training as well as academic training in a school or educational institution.,16
C,Compensated Work Therapy (CWT)," Is a recovery-orientated, vocational model in the continuum of Veterans Health Administration (VHA) work restoration services authorized by 38 United States Code (U.S.C.) 1718.",24
C,Contact," Any attempt to contact a claimant.  Contacts may be via telephone, email, letter, face-to-face, tele-counseling, and e-VA.",17
C,Contemporaneous notice," A notice given when the beneficiary or his or her fiduciary provides factual, unambiguous information or statements regarding income, net worth, martial status, or dependency and that information is used by the VA to reduce, suspend, or discontinue the beneficiary’s award.",41
C,Counseling Psychologist," Unless otherwise stated, the term counseling psychologist refers to a counseling psychologist in the Vocational Rehabilitation and Employment Division in the Veterans Benefits Administration, Department of Veterans Affairs. (38 CFR 21.35(k)(1))",31
D,Day," Calendar day is every day of the week, including weekends.
Business day is Monday through Friday only.",17
D,Dependent," Spouse, child, surviving spouse of an eligible claimant.",8
D,Digital Signature, A type of signature that encrypts documents with digital codes that are particularly difficult to duplicate.,16
