Title,Heading,Content,Tokens,Context,Questions
M28C.I.A.1 Veteran Readiness and Employment Manual,1.01  Mission of Department of Veterans Affairs,"(Change Date August 1, 2012) The mission of VA is to fulfill President Lincoln's promise, ""To care for him who shall have borne the battle, and for his widow, and his orphan"" by serving and honoring the men and women who are America's Veterans.",44,"M28C.I.A.1 Veteran Readiness and Employment Manual
1.01  Mission of Department of Veterans Affairs

(Change Date August 1, 2012) The mission of VA is to fulfill President Lincoln's promise, ""To care for him who shall have borne the battle, and for his widow, and his orphan"" by serving and honoring the men and women who are America's Veterans.","1. What is the mission of the Department of Veterans Affairs?
2. What promise did President Lincoln make to veterans?
3. How does VA serve and honor veterans?"
M28C.I.A.1 Veteran Readiness and Employment Manual,1.02  Scope,"(Change Date October 1, 2020) The Veteran Readiness & Employment manual or M28C provides management and operational procedures for administration of the Department of Veteran's Affairs (VA) VR&E program, as prescribed by law under title 38 of United States Code (U.S.C.), Chapter 31. a.  VA Offices Affected (Change Date August 01, 2012) Policies and procedures outlined in the M28C apply to VR&E offices at VA Regional Offices (RO), outbased locations within the jurisdiction of an RO, and co-located offices at a VA Medical Center. b.  Other Benefits and Services Covered under Chapter 31 (Change Date August 01, 2012) The manual also provides guidance on providing vocational and educational counseling to Claimants and their dependents who are eligible for or utilizing the following educational benefit programs: 1.  38 U.S.C., Veterans Benefits Chapter 18, Benefits for Children of Vietnam Veterans and Certain Other Veterans
Chapter 30, All-Volunteer Force Educational Assistance Program
Chapter 32, Post-Vietnam Era Veterans' Educational Assistance
Chapter 33, Post 9/11 Educational Assistance
Chapter 35, Survivors' and Dependents' Educational Assistance
Chapter 36, Administration of Educational Benefits 2.  10 U.S.C., Armed Forces Chapter 1606, The Montgomery GI Bill-Selected Reserve Information regarding the educational benefits listed above may be obtained at www.benefits.va.gov/gibill/.",199,"M28C.I.A.1 Veteran Readiness and Employment Manual
1.02  Scope

(Change Date October 1, 2020) The Veteran Readiness & Employment manual or M28C provides management and operational procedures for administration of the Department of Veteran's Affairs (VA) VR&E program, as prescribed by law under title 38 of United States Code (U.S.C.), Chapter 31. a.  VA Offices Affected (Change Date August 01, 2012) Policies and procedures outlined in the M28C apply to VR&E offices at VA Regional Offices (RO), outbased locations within the jurisdiction of an RO, and co-located offices at a VA Medical Center. b.  Other Benefits and Services Covered under Chapter 31 (Change Date August 01, 2012) The manual also provides guidance on providing vocational and educational counseling to Claimants and their dependents who are eligible for or utilizing the following educational benefit programs: 1.  38 U.S.C., Veterans Benefits Chapter 18, Benefits for Children of Vietnam Veterans and Certain Other Veterans
Chapter 30, All-Volunteer Force Educational Assistance Program
Chapter 32, Post-Vietnam Era Veterans' Educational Assistance
Chapter 33, Post 9/11 Educational Assistance
Chapter 35, Survivors' and Dependents' Educational Assistance
Chapter 36, Administration of Educational Benefits 2.  10 U.S.C., Armed Forces Chapter 1606, The Montgomery GI Bill-Selected Reserve Information regarding the educational benefits listed above may be obtained at www.benefits.va.gov/gibill/.","1. What is the purpose of the M28C?
2. Which VA offices are affected by the policies and procedures outlined in the M28C?
3. What are the educational benefits that are covered under Chapter 31 of the U.S.C.?
4. Where can Claimants obtain information about the educational benefits listed above?"
M28C.I.A.1 Veteran Readiness and Employment Manual,1.03  Organization of the Manual,"(Change Date August 1, 2012) This manual contains eight Parts: Part I, Overview Part II, Office Administration Part III, Program Administration Part IV, Application, Evaluation, and Planning Part V, Case Management Part VI, Employment Services Part VII, Other Benefits Case Management Part VIII, Program Oversight Each Part is represented by an uppercase Roman numeral.  Sections are represented by upper case letters starting at “A”, e.g., Section A.  In parts without multiple sections, the entire contents are outlined under Section A. Each section is divided into chapters indicated by numbers starting at 1, e.g. Chapter 1. Within the chapter level, paragraph numbers are expressed as a two-digit decimal number following the chapter number, e.g., 1.01.  The digit to the left of the decimal indicates the chapter number and digits to the right indicate main paragraphs. Some paragraphs are divided into subparagraphs and represented by lower-case letters beginning with “a”.  When further levels of organization are needed, items or topics are represented by numbers starting at “1”.  Below that, blocks are represented by lower case letters in parentheses beginning with (a).  For example:  1.01 Chapter and Paragraph a.  Subparagraph 1.  Topic (a) Block  To cite information from a specific location in the M28C, use the corresponding numbers and letters, without spaces, and separate by a period.  For example, information in M28C, Part I, Section A, Chapter 1, Paragraph .01, Subparagraph a, is cited as M28C.I.A.1.01.a.1.",233,"M28C.I.A.1 Veteran Readiness and Employment Manual
1.03  Organization of the Manual

(Change Date August 1, 2012) This manual contains eight Parts: Part I, Overview Part II, Office Administration Part III, Program Administration Part IV, Application, Evaluation, and Planning Part V, Case Management Part VI, Employment Services Part VII, Other Benefits Case Management Part VIII, Program Oversight Each Part is represented by an uppercase Roman numeral.  Sections are represented by upper case letters starting at “A”, e.g., Section A.  In parts without multiple sections, the entire contents are outlined under Section A. Each section is divided into chapters indicated by numbers starting at 1, e.g. Chapter 1. Within the chapter level, paragraph numbers are expressed as a two-digit decimal number following the chapter number, e.g., 1.01.  The digit to the left of the decimal indicates the chapter number and digits to the right indicate main paragraphs. Some paragraphs are divided into subparagraphs and represented by lower-case letters beginning with “a”.  When further levels of organization are needed, items or topics are represented by numbers starting at “1”.  Below that, blocks are represented by lower case letters in parentheses beginning with (a).  For example:  1.01 Chapter and Paragraph a.  Subparagraph 1.  Topic (a) Block  To cite information from a specific location in the M28C, use the corresponding numbers and letters, without spaces, and separate by a period.  For example, information in M28C, Part I, Section A, Chapter 1, Paragraph .01, Subparagraph a, is cited as M28C.I.A.1.01.a.1.","1. What is the purpose of the M28C.I.A.1 Veteran Readiness and Employment Manual?
2. What are the eight parts of the manual?
3. What is the structure of the sections and chapters in the manual?
4. How do you cite information from the manual?"
M28C.I.A.1 Veteran Readiness and Employment Manual,1.04  Authority of Decisions,"(Change Date August 01, 2012) Policies and procedures described in the M28C are derived from the laws contained in 38 U.S.C.  VA disseminates regulations to implement these laws, which are published in the Code of Federal Regulations (CFR). When administering Chapter 31 benefits, VR&E staff must adhere to the following, which are provided in the order of precedent – meaning the laws take precedence over the regulations, etc.: 38 U.S.C.
38 CFR
M28C
Other directives or guidance issued by VR&E Service, other VBA Business Lines, the Under Secretary of Benefits, or the Secretary of VA Previously issued VA and VR&E letters, circulars, hotline bulletins, procedural advisories and email guidance have been incorporated into the M28C and were rescinded accordingly.",119,"M28C.I.A.1 Veteran Readiness and Employment Manual
1.04  Authority of Decisions

(Change Date August 01, 2012) Policies and procedures described in the M28C are derived from the laws contained in 38 U.S.C.  VA disseminates regulations to implement these laws, which are published in the Code of Federal Regulations (CFR). When administering Chapter 31 benefits, VR&E staff must adhere to the following, which are provided in the order of precedent – meaning the laws take precedence over the regulations, etc.: 38 U.S.C.
38 CFR
M28C
Other directives or guidance issued by VR&E Service, other VBA Business Lines, the Under Secretary of Benefits, or the Secretary of VA Previously issued VA and VR&E letters, circulars, hotline bulletins, procedural advisories and email guidance have been incorporated into the M28C and were rescinded accordingly.","1. What is the order of precedence for laws governing Chapter 31 benefits?
2. What is the order of precedence for regulations governing Chapter 31 benefits?
3. What is the order of precedence for directives governing Chapter 31 benefits?
4. What is the order of precedence for guidance governing Chapter 31 benefits?"
M28C.I.A.1 Veteran Readiness and Employment Manual,1.05  Distribution of the Manual,"(Change Date October 01, 2020) The M28C is available on the VR&E Knowledge Management (KM) portal.  The M28C has a feature that allows the user to search for specific information by typing in keywords, phrases, and questions in the search box at the top of the screen. The M28C is also available to the public at: http://www.knowva.ebenefits.va.gov/",57,"M28C.I.A.1 Veteran Readiness and Employment Manual
1.05  Distribution of the Manual

(Change Date October 01, 2020) The M28C is available on the VR&E Knowledge Management (KM) portal.  The M28C has a feature that allows the user to search for specific information by typing in keywords, phrases, and questions in the search box at the top of the screen. The M28C is also available to the public at: http://www.knowva.ebenefits.va.gov/","1. What is the M28C?
2. What is the KM portal?
3. Where is the M28C available?
4. How can the M28C be searched?"
M28C.I.A.1 Veteran Readiness and Employment Manual,1.06  Manual Updates,"(Change Date October 01, 2020) The VR&E manual was originally developed in 1987 and disseminated via hard copies.  It was divided into three parts and aptly named M28-1, M28-2, and M28-3. Changes in the manual were made through Transmittal Letters and concurrently incorporated into the manual. In 2011, the manual was automated and saved in the VR&E Knowledge Management Portal (KMP) and renamed as M28R (Revision).  Changes and clarifications on policies and procedures were disseminated to the field via VR&E letters, circulars, hotline bulletins, procedural advisories and email guidance. The procedures from these guidance documents were subsequently incorporated into the M28R. In 2020, the M28R was converted into an interactive, live platform and renamed as M28C (Conversion).  New policies and/or procedures are directly updated in the M28C.  Notification for updates are sent out to all VR&E users via Update Notices. Additionally, there is a link on the VR&E KM, which allows all VR&E KM users to view published updates of the M28C and VR&E KM. The M28C Update Notices consists of three sections. Section 1 includes updates in a chapter that introduce a new, or a change in a VR&E policy or procedure. The Change Date is updated on the specific section of the chapter for each new or changed policy or procedure and is effective the date of the implementation notice. Additionally, a QA Deferral Period is granted when a new or changed policy or procedure directly impacts administration of a claimant's benefit. A QA Deferral Date, which is the last day of the deferral period, is assigned, as needed. Section 2 includes a clarification or additional explanation on a policy or procedure but does not change the intent of the policy or procedure. A QA deferral date is not assigned. Section 3 includes miscellaneous VR&E KM changes including updates to Appendices, VA Forms, and VR Letters. A QA Deferral Date is assigned only if the use of the appendix, form, or letter is required. The effective date of the implementation or rescission of the appendix, form, and letter is the date of the M28C Updates notice. When an M28C chapter is updated, the previous version is retained in the VR&E KM for historical and audit purposes and is maintained in the M28C Version Histories section.   Back to Top of Page",382,"M28C.I.A.1 Veteran Readiness and Employment Manual
1.06  Manual Updates

(Change Date October 01, 2020) The VR&E manual was originally developed in 1987 and disseminated via hard copies.  It was divided into three parts and aptly named M28-1, M28-2, and M28-3. Changes in the manual were made through Transmittal Letters and concurrently incorporated into the manual. In 2011, the manual was automated and saved in the VR&E Knowledge Management Portal (KMP) and renamed as M28R (Revision).  Changes and clarifications on policies and procedures were disseminated to the field via VR&E letters, circulars, hotline bulletins, procedural advisories and email guidance. The procedures from these guidance documents were subsequently incorporated into the M28R. In 2020, the M28R was converted into an interactive, live platform and renamed as M28C (Conversion).  New policies and/or procedures are directly updated in the M28C.  Notification for updates are sent out to all VR&E users via Update Notices. Additionally, there is a link on the VR&E KM, which allows all VR&E KM users to view published updates of the M28C and VR&E KM. The M28C Update Notices consists of three sections. Section 1 includes updates in a chapter that introduce a new, or a change in a VR&E policy or procedure. The Change Date is updated on the specific section of the chapter for each new or changed policy or procedure and is effective the date of the implementation notice. Additionally, a QA Deferral Period is granted when a new or changed policy or procedure directly impacts administration of a claimant's benefit. A QA Deferral Date, which is the last day of the deferral period, is assigned, as needed. Section 2 includes a clarification or additional explanation on a policy or procedure but does not change the intent of the policy or procedure. A QA deferral date is not assigned. Section 3 includes miscellaneous VR&E KM changes including updates to Appendices, VA Forms, and VR Letters. A QA Deferral Date is assigned only if the use of the appendix, form, or letter is required. The effective date of the implementation or rescission of the appendix, form, and letter is the date of the M28C Updates notice. When an M28C chapter is updated, the previous version is retained in the VR&E KM for historical and audit purposes and is maintained in the M28C Version Histories section.   Back to Top of Page","1. What is the M28C.I.A.1 Veteran Readiness and Employment Manual?
2. What is the purpose of the M28C.I.A.1 Veteran Readiness and Employment Manual?
3. What is the Change Date?
4. What is the QA Deferral Period?
5. What is the QA Deferral Date?
6. What is the effective date of the implementation or rescission of an appendix, form, or letter?"
M28C.I.A.2 Partnerships and Memoranda of Agreement or Understanding,2.01  Partnerships,"a. Partnerships within Department of Veterans Affairs Business Lines and Regional Offices (Change Date August 1, 2012) Establishing relationships within the Department of Veterans Affairs (VA) strengthens the network of services and resources available to the claimants served by VR&E Service. VR&E offices should work closely to develop partnerships within their regional office and within VA. There are several examples in which VA business lines work together to provide services to claimants. One example is a partnership between VR&E Service and Loan Guaranty on instances in which a claimant is receiving services under a rehabilitation plan and requires home adaptations, such as home construction, to increase his or her independence in daily living and to be able to live in a safer home environment. b. Veterans Health Administration Partnerships (Change Date August 1, 2012) VR&E office staff work cooperatively with Veterans Health Administration (VHA) to meet claimants' health needs, obtain information that may impact their rehabilitation planning or program participation and provide services to facilitate successful program completion. Examples of partnerships between VR&E offices and VHA include the following: Referral to VA Medical Center (VAMC) for healthcare and treatment Referral to Vet Centers for Readjustment Counseling Services for assistance with adjusting to civilian life Referral to Women Claimants Health Care for gender-specific health care services Referral to Rehabilitation Services' for Visual Impairment Services Team (VIST) for evaluations, support with low vision aids, and provide training to assist claimants to function more independently in their homes and community Referral to the Polytrauma Units and Traumatic Brain Injury Systems of Care for adjustment counseling, concentration, learning, and memory strategies Referral to Prosthetic and Sensory Aids Services for durable medical equipment Referral to Compensated Work Therapy (CWT) for supported employment or transitional work experience Note: Some of these services are not available at every VAMC and are regionally distributed throughout the United States. c. Partnerships with Other Federal, State, and Local Agencies (Change Date August 1, 2012) VR&E Service partners with various agencies at the federal level and VR&E offices partners with agencies at the state and local levels. In addition to establishing MOUs, VR&E Service often partners with other agencies on multiple projects, such as task forces, advisory committees, workgroups, and other projects that may directly impact VR&E services. d. Partnerships with National Service Organizations (Change Date August 1, 2012) VR&E Service partners with National Service Organizations (NSO) to ensure claimants are educated on all the benefits they may be entitled to receive. VR&E Service partnership with NSOs has established agreements to train claimants with disabilities as National Service Officers. Claimants participating in the VR&E Program who desire employment as a National Service Officer are interviewed by the organization and, if found entitled to VR&E benefits, will work with their assigned Vocational Rehabilitation Counselor (VRC) to develop, and sign an approved rehabilitation plan to receive training through the prospective organization's supervising National Service Officer. e. Partnerships with the Private Sector (Change Date August 1, 2012) VR&E Service partners with private sector employers on the national",503,"M28C.I.A.2 Partnerships and Memoranda of Agreement or Understanding
2.01  Partnerships

a. Partnerships within Department of Veterans Affairs Business Lines and Regional Offices (Change Date August 1, 2012) Establishing relationships within the Department of Veterans Affairs (VA) strengthens the network of services and resources available to the claimants served by VR&E Service. VR&E offices should work closely to develop partnerships within their regional office and within VA. There are several examples in which VA business lines work together to provide services to claimants. One example is a partnership between VR&E Service and Loan Guaranty on instances in which a claimant is receiving services under a rehabilitation plan and requires home adaptations, such as home construction, to increase his or her independence in daily living and to be able to live in a safer home environment. b. Veterans Health Administration Partnerships (Change Date August 1, 2012) VR&E office staff work cooperatively with Veterans Health Administration (VHA) to meet claimants' health needs, obtain information that may impact their rehabilitation planning or program participation and provide services to facilitate successful program completion. Examples of partnerships between VR&E offices and VHA include the following: Referral to VA Medical Center (VAMC) for healthcare and treatment Referral to Vet Centers for Readjustment Counseling Services for assistance with adjusting to civilian life Referral to Women Claimants Health Care for gender-specific health care services Referral to Rehabilitation Services' for Visual Impairment Services Team (VIST) for evaluations, support with low vision aids, and provide training to assist claimants to function more independently in their homes and community Referral to the Polytrauma Units and Traumatic Brain Injury Systems of Care for adjustment counseling, concentration, learning, and memory strategies Referral to Prosthetic and Sensory Aids Services for durable medical equipment Referral to Compensated Work Therapy (CWT) for supported employment or transitional work experience Note: Some of these services are not available at every VAMC and are regionally distributed throughout the United States. c. Partnerships with Other Federal, State, and Local Agencies (Change Date August 1, 2012) VR&E Service partners with various agencies at the federal level and VR&E offices partners with agencies at the state and local levels. In addition to establishing MOUs, VR&E Service often partners with other agencies on multiple projects, such as task forces, advisory committees, workgroups, and other projects that may directly impact VR&E services. d. Partnerships with National Service Organizations (Change Date August 1, 2012) VR&E Service partners with National Service Organizations (NSO) to ensure claimants are educated on all the benefits they may be entitled to receive. VR&E Service partnership with NSOs has established agreements to train claimants with disabilities as National Service Officers. Claimants participating in the VR&E Program who desire employment as a National Service Officer are interviewed by the organization and, if found entitled to VR&E benefits, will work with their assigned Vocational Rehabilitation Counselor (VRC) to develop, and sign an approved rehabilitation plan to receive training through the prospective organization's supervising National Service Officer. e. Partnerships with the Private Sector (Change Date August 1, 2012) VR&E Service partners with private sector employers on the national","1. What are some examples of partnerships between VA business lines?
2. What are some examples of partnerships between VR&E offices and VHA?
3. What are some examples of partnerships with other federal, state, and local agencies?
4. What are some examples of partnerships with NSOs?
5. What are some examples of partnerships with the private sector?"
M28C.I.A.2 Partnerships and Memoranda of Agreement or Understanding,2.01  Partnerships,"level to enhance employment opportunities for claimants with service-connected disabilities. VR&E management at the local level is expected to use existing partnerships in support of its mission, and continue to develop new partnerships at the local level. f. Partnerships with Faith-based, Nonprofit, Community Initiative Agencies (Change Date August 1, 2012) VR&E Service partners with faith-based, non-profit, and community initiative agencies on the national and local level to enhance employment opportunities for claimants with service-connected disabilities.",75,"M28C.I.A.2 Partnerships and Memoranda of Agreement or Understanding
2.01  Partnerships

level to enhance employment opportunities for claimants with service-connected disabilities. VR&E management at the local level is expected to use existing partnerships in support of its mission, and continue to develop new partnerships at the local level. f. Partnerships with Faith-based, Nonprofit, Community Initiative Agencies (Change Date August 1, 2012) VR&E Service partners with faith-based, non-profit, and community initiative agencies on the national and local level to enhance employment opportunities for claimants with service-connected disabilities.","1. What is the purpose of VR&E partnerships?
2. What types of agencies does VR&E partner with?
3. How do VR&E partnerships help claimants with service-connected disabilities?"
M28C.I.A.2 Partnerships and Memoranda of Agreement or Understanding,2.02  Memorandum of Agreement and Memorandum of Understanding,"a. Development of Memorandum of Agreement or Understanding (Change Date August 1, 2012) Every VR&E MOU or MOA must be consistent with the VA's mission and be authorized and compliant with Federal law, regulations, and funding constraints. Additionally, the existence of an MOU or MOA does not eliminate or diminish the need for additional contracts, documents, or agreements to execute the activities considered by both parties. Neither an MOU nor a MOA can be used as the sole authority or means to acquire or procure goods or services, exchange funds or property, or transfer or assign personnel. Although the MOU or MOA can address those issues and indicate the goals and intent of the parties involved, all VA personnel must comply fully with pertinent contracting and procurement regulations and procedures. Additionally, although an MOU or MOA can address unique situations, it cannot be used in place of a contract. The MOU or MOA by itself grants no authority for the parties involved to engage in the speculated activity. The Executive Director of VR&E Service is responsible for developing MOUs and MOAs at the national level while the VR&E Officer or his or her designee is responsible for developing MOUs and MOAs at the local level. The following Federal statutes are commonly used to grant the underlying general authority for a VR&E MOU or MOA: 38 U.S.C.3115 authorizes VA to enter agreements with Federal agencies providing non-paid work experience, on-the-job training, or other training opportunities for VR&E claimants. 38 U.S.C.3116 authorizes VA to promote the development and establishment of employment opportunities through coordination with federal, state, and local governmental agencies and appropriate non-governmental organizations. Neither the VA nor any person employed by the VA may agree to indemnify any other party without specific Federal statutory authorization. 31 U.S.C. 1341(a)(1)(A) and 1341(a)(1)(B), referred to as the Anti-deficiency Act, prohibits all Federal employees from making or authorizing expenditures or obligations exceeding appropriated funding and from obligating payment of money before it is appropriated. A typical indemnification clause violates both provisions of the Antideficiency Act because it potentially obligates the Federal government or VA to pay an unspecified, unlimited, and unappropriated amount of money should someone else's property be lost, damaged, or destroyed; someone is injured or killed; or other parties to the MOU or MOA incur legal liabilities or expenses. Should any prospective party to an MOU or MOA request or demand that the VA agree to an indemnification clause, VA staff must contact VA's Office of General Counsel (OGC) for assistance. b. Information Requirements (Change Date August 1, 2012) The language for specific agreements must be appropriately customized to accommodate the subject matter of the agreement and the needs of the parties involved or to conform to applicable laws, regulations, or directives. The format may differ if a party other than the VA originates the MOU or MOA. However, every MOU or MOA in which VR&E services are involved must include the following necessary information: Parties The parties to be bound by the agreement must be identified. Authority The legal authority for the agreement must be cited. Federal laws, regulations or other directives must be referenced. Purpose The purpose or reason for entering the agreement must be stated. Responsibilities A description",539,"M28C.I.A.2 Partnerships and Memoranda of Agreement or Understanding
2.02  Memorandum of Agreement and Memorandum of Understanding

a. Development of Memorandum of Agreement or Understanding (Change Date August 1, 2012) Every VR&E MOU or MOA must be consistent with the VA's mission and be authorized and compliant with Federal law, regulations, and funding constraints. Additionally, the existence of an MOU or MOA does not eliminate or diminish the need for additional contracts, documents, or agreements to execute the activities considered by both parties. Neither an MOU nor a MOA can be used as the sole authority or means to acquire or procure goods or services, exchange funds or property, or transfer or assign personnel. Although the MOU or MOA can address those issues and indicate the goals and intent of the parties involved, all VA personnel must comply fully with pertinent contracting and procurement regulations and procedures. Additionally, although an MOU or MOA can address unique situations, it cannot be used in place of a contract. The MOU or MOA by itself grants no authority for the parties involved to engage in the speculated activity. The Executive Director of VR&E Service is responsible for developing MOUs and MOAs at the national level while the VR&E Officer or his or her designee is responsible for developing MOUs and MOAs at the local level. The following Federal statutes are commonly used to grant the underlying general authority for a VR&E MOU or MOA: 38 U.S.C.3115 authorizes VA to enter agreements with Federal agencies providing non-paid work experience, on-the-job training, or other training opportunities for VR&E claimants. 38 U.S.C.3116 authorizes VA to promote the development and establishment of employment opportunities through coordination with federal, state, and local governmental agencies and appropriate non-governmental organizations. Neither the VA nor any person employed by the VA may agree to indemnify any other party without specific Federal statutory authorization. 31 U.S.C. 1341(a)(1)(A) and 1341(a)(1)(B), referred to as the Anti-deficiency Act, prohibits all Federal employees from making or authorizing expenditures or obligations exceeding appropriated funding and from obligating payment of money before it is appropriated. A typical indemnification clause violates both provisions of the Antideficiency Act because it potentially obligates the Federal government or VA to pay an unspecified, unlimited, and unappropriated amount of money should someone else's property be lost, damaged, or destroyed; someone is injured or killed; or other parties to the MOU or MOA incur legal liabilities or expenses. Should any prospective party to an MOU or MOA request or demand that the VA agree to an indemnification clause, VA staff must contact VA's Office of General Counsel (OGC) for assistance. b. Information Requirements (Change Date August 1, 2012) The language for specific agreements must be appropriately customized to accommodate the subject matter of the agreement and the needs of the parties involved or to conform to applicable laws, regulations, or directives. The format may differ if a party other than the VA originates the MOU or MOA. However, every MOU or MOA in which VR&E services are involved must include the following necessary information: Parties The parties to be bound by the agreement must be identified. Authority The legal authority for the agreement must be cited. Federal laws, regulations or other directives must be referenced. Purpose The purpose or reason for entering the agreement must be stated. Responsibilities A description","1. What is the purpose of a Memorandum of Agreement or Understanding?
2. What Federal statutes are commonly used to grant the underlying general authority for a VR&E MOU or MOA?
3. What are the information requirements for a VR&E MOU or MOA?"
M28C.I.A.2 Partnerships and Memoranda of Agreement or Understanding,2.02  Memorandum of Agreement and Memorandum of Understanding,"of the duties and responsibilities of the parties must be clearly outlined. The description should be as specific and detailed as required. Lengthy details may be provided in an appendix rather than in the body of the MOU or MOA. Reporting and Documentation The MOU or MOA must specify whether follow-up reports or documentation of actions taken are required and must state how often and to whom that information is to be submitted. Contact Information Contact Information for all parties must be provided, including names, office symbols, physical addresses, email addresses, website addresses, and phone numbers. Modification A provision stating how to modify or amend the agreement must be included. Modifications can be formal (written) or informal (oral) and can be approved only by the signatories or other appropriate individuals, if the signatories are no longer in the employ of the party in question. Modifications that change central provisions of the agreement must be formal (written), and agreed to by the individuals who initially approved the MOU or MOA or their successors. Effective Date The effective date of the MOU or MOA must be stated. The effective date may be a specified date after the MOU/MOA is signed by all parties or the date the last party signs the agreement. Termination or Extension The MOU or MOA must contain several provisions regarding termination. The document should indicate a specific date of termination upon the accomplishment of its purpose, or upon agreement of the parties. The MOU or MOA must also contain a provision stating whether the duration of the agreement may be extended and if so, the extension mechanism (e.g. by written agreement of the parties) to be used. Finally, the agreement must indicate whether a party may terminate the agreement early (by written notice to the other parties). c. Signatory (Change Date August 1, 2012) The VA or VR&E Service are a party to the agreement, not the person signing for the VA. Therefore, the signatory must have the authority to sign the MOU or MOA and commit the VA to the services and or actions noted in the agreement. VBA leadership or Office of General Counsel (OGC) must be consulted to determine the approving official. d. Concurrence Process (Change Date August 1, 2012) Before submitting an MOU or MOA to the approval authority for signature, the originating staff member must ensure that the MOU or MOA does not conflict with any preexisting agreements. The originating staff member must also ensure that the appropriate level of VBA leadership and OGC have reviewed and concurred upon the MOU or MOA. Concurrence of a proposed MOU or MOA can be either consecutive, meaning completed at one agency, then forwarded to the other agency; or concurrently, meaning proceeding through each agency simultaneously. Early coordination and communication with interested offices and the use of e-mail for electronic review and editing of the draft MOU or MOA are encouraged and acceptable. Back to Top of Page",492,"M28C.I.A.2 Partnerships and Memoranda of Agreement or Understanding
2.02  Memorandum of Agreement and Memorandum of Understanding

of the duties and responsibilities of the parties must be clearly outlined. The description should be as specific and detailed as required. Lengthy details may be provided in an appendix rather than in the body of the MOU or MOA. Reporting and Documentation The MOU or MOA must specify whether follow-up reports or documentation of actions taken are required and must state how often and to whom that information is to be submitted. Contact Information Contact Information for all parties must be provided, including names, office symbols, physical addresses, email addresses, website addresses, and phone numbers. Modification A provision stating how to modify or amend the agreement must be included. Modifications can be formal (written) or informal (oral) and can be approved only by the signatories or other appropriate individuals, if the signatories are no longer in the employ of the party in question. Modifications that change central provisions of the agreement must be formal (written), and agreed to by the individuals who initially approved the MOU or MOA or their successors. Effective Date The effective date of the MOU or MOA must be stated. The effective date may be a specified date after the MOU/MOA is signed by all parties or the date the last party signs the agreement. Termination or Extension The MOU or MOA must contain several provisions regarding termination. The document should indicate a specific date of termination upon the accomplishment of its purpose, or upon agreement of the parties. The MOU or MOA must also contain a provision stating whether the duration of the agreement may be extended and if so, the extension mechanism (e.g. by written agreement of the parties) to be used. Finally, the agreement must indicate whether a party may terminate the agreement early (by written notice to the other parties). c. Signatory (Change Date August 1, 2012) The VA or VR&E Service are a party to the agreement, not the person signing for the VA. Therefore, the signatory must have the authority to sign the MOU or MOA and commit the VA to the services and or actions noted in the agreement. VBA leadership or Office of General Counsel (OGC) must be consulted to determine the approving official. d. Concurrence Process (Change Date August 1, 2012) Before submitting an MOU or MOA to the approval authority for signature, the originating staff member must ensure that the MOU or MOA does not conflict with any preexisting agreements. The originating staff member must also ensure that the appropriate level of VBA leadership and OGC have reviewed and concurred upon the MOU or MOA. Concurrence of a proposed MOU or MOA can be either consecutive, meaning completed at one agency, then forwarded to the other agency; or concurrently, meaning proceeding through each agency simultaneously. Early coordination and communication with interested offices and the use of e-mail for electronic review and editing of the draft MOU or MOA are encouraged and acceptable. Back to Top of Page","1. What is the difference between a Memorandum of Agreement and a Memorandum of Understanding?
2. What needs to be included in a MOU or MOA?
3. How do modifications to an agreement take place?
4. What is the effective date of an MOU or MOA?
5. How is an MOU or MOA terminated?
6. What is the concurrence process for an MOU or MOA?"
